mean,std,max,min,median,kurtosis,skew,rms,crest_factor,impulse_factor,clearance_factor,label
-101.25909004378451,2443.3774442210756,30692.0,-32478.0,-45.0,141.5943847220056,-7.6739117830555434,2445.474747006154,13.280856831484702,96.66191913136988,0.005430788785590056,0
-114.06339234723015,2397.7671182216363,29760.0,-32476.0,-53.0,145.66685233689114,-8.518284221222586,2400.4786211709215,13.528968645493972,93.99153838058996,0.005635946317611744,0
-121.00913763563678,2459.093182522309,31786.0,-32499.0,-56.0,142.3441549480148,-8.195425732958265,2462.0687422813803,13.199875146412875,91.17061334481173,0.005361294313083121,0
-93.34494574528841,2431.809585879555,31443.0,-32501.0,-41.0,141.17129166980646,-7.498879216545268,2433.600448075214,13.35510930962629,93.5856059464067,0.0054877986730275,0
-115.67256805634875,2413.88133544741,25765.0,-32560.0,-35.0,146.86120719048995,-9.401330976322736,2416.6512459645724,13.473189420430474,95.83950923050544,0.005575148438538072,0
-87.79706834189987,2442.0781266292415,31129.0,-32467.0,-22.0,144.84132672019638,-7.556868705212574,2443.655847653351,13.286240790076125,97.55030600805344,0.0054370343527853715,0
-123.80887112126403,2448.6877495244203,30867.0,-32723.0,-50.0,141.40541420882633,-8.467294711931103,2451.8157213051904,13.346435344080573,95.78920447009811,0.005443490401055012,0
-112.46487721302113,2443.503943820546,29365.0,-32478.0,-44.0,140.4402229877033,-8.596017241905482,2446.0907325921294,13.277512386297694,95.90564414943134,0.005428053918599935,0
-107.40338853988197,2424.2935170811465,24658.0,-32766.0,-22.0,146.0242652708763,-9.875797525844211,2426.671495038322,13.502445661472839,96.50340049855289,0.005564183569585141,0
-131.10394060536836,2407.800841177775,27110.0,-32474.0,-47.0,150.84336104819621,-9.80293263017336,2411.36748216,13.467047324910917,95.08431598022128,0.005584817504815863,0
-93.31048924424138,2429.984489573597,31402.0,-32506.0,-15.0,150.28710651880195,-9.287687761822356,2431.7753734609732,13.36718857948484,101.0187526622178,0.005496884591137326,0
